timestamp,pair,side,units,order_id
2025-07-08T22:29:07.710986,AUD_USD,LONG,1000,230
2025-07-08T22:29:07.978648,USD_CAD,LONG,1000,232
2025-07-08T22:30:08.565804,EUR_USD,LONG,1000,234
2025-07-08T22:30:08.810013,USD_JPY,SHORT,-1000,236
2025-07-08T22:30:09.015946,GBP_USD,LONG,1000,238
2025-07-08T22:30:09.216774,AUD_USD,LONG,1000,240
2025-07-08T22:30:09.512799,USD_CAD,LONG,1000,242
2025-07-08T22:31:10.256242,EUR_USD,LONG,1000,244
2025-07-08T22:31:10.553655,USD_JPY,SHORT,-1000,246
2025-07-08T22:31:10.786968,GBP_USD,LONG,1000,248
2025-07-08T22:31:10.980765,AUD_USD,LONG,1000,250
2025-07-08T22:31:11.160339,USD_CAD,LONG,1000,252
2025-07-08T22:32:11.639658,EUR_USD,LONG,1000,254
2025-07-08T22:32:11.837923,USD_JPY,SHORT,-1000,256
2025-07-08T22:32:12.009914,GBP_USD,LONG,1000,258
2025-07-08T22:32:12.197742,AUD_USD,LONG,1000,260
2025-07-08T22:32:12.539853,USD_CAD,LONG,1000,262
2025-07-08T22:33:13.029740,EUR_USD,LONG,1000,264
2025-07-08T22:33:13.260541,USD_JPY,SHORT,-1000,266
2025-07-08T22:33:13.425856,GBP_USD,LONG,1000,268
2025-07-08T22:33:13.637506,AUD_USD,LONG,1000,270
2025-07-08T22:33:13.864331,USD_CAD,LONG,1000,272
2025-07-08T22:34:14.299888,EUR_USD,LONG,1000,274
2025-07-08T22:34:14.536248,USD_JPY,SHORT,-1000,276
2025-07-08T22:34:14.781707,GBP_USD,LONG,1000,278
2025-07-08T22:34:14.956819,AUD_USD,LONG,1000,280
2025-07-08T22:34:15.120714,USD_CAD,SHORT,-1000,282
2025-07-08T22:35:15.938106,EUR_USD,LONG,1000,284
2025-07-08T22:35:16.124394,USD_JPY,SHORT,-1000,286
2025-07-08T22:35:16.328070,GBP_USD,LONG,1000,288
2025-07-08T22:35:16.522262,AUD_USD,LONG,1000,290
2025-07-08T22:35:16.761388,USD_CAD,SHORT,-1000,292
2025-07-08T22:36:17.209020,EUR_USD,LONG,1000,294
2025-07-08T22:36:17.382892,USD_JPY,SHORT,-1000,296
2025-07-08T22:36:17.547006,GBP_USD,LONG,1000,298
2025-07-08T22:36:17.727384,AUD_USD,LONG,1000,300
2025-07-08T22:36:17.901690,USD_CAD,SHORT,-1000,302
2025-07-08T22:37:18.339452,EUR_USD,LONG,1000,304
2025-07-08T22:37:18.519284,USD_JPY,SHORT,-1000,306
2025-07-08T22:37:18.775174,GBP_USD,LONG,1000,308
2025-07-08T22:37:18.962492,AUD_USD,LONG,1000,310
2025-07-08T22:37:19.142815,USD_CAD,SHORT,-1000,312
2025-07-08T22:38:19.684044,EUR_USD,LONG,1000,314
2025-07-08T22:38:19.852998,USD_JPY,SHORT,-1000,316
2025-07-08T22:38:20.107153,GBP_USD,LONG,1000,318
2025-07-08T22:38:20.295165,AUD_USD,LONG,1000,320
2025-07-08T22:38:20.467361,USD_CAD,SHORT,-1000,322
2025-07-08T22:39:21.457016,EUR_USD,LONG,1000,324
2025-07-08T22:39:21.698755,USD_JPY,SHORT,-1000,326
2025-07-08T22:39:21.958583,GBP_USD,LONG,1000,328
2025-07-08T22:39:22.124414,AUD_USD,LONG,1000,330
2025-07-08T22:39:22.304664,USD_CAD,SHORT,-1000,332
2025-07-08T22:40:22.966351,EUR_USD,LONG,1000,334
2025-07-08T22:40:23.173800,USD_JPY,SHORT,-1000,336
2025-07-08T22:40:23.529677,GBP_USD,LONG,1000,338
2025-07-08T22:40:23.809531,AUD_USD,LONG,1000,340
2025-07-08T22:40:23.993128,USD_CAD,SHORT,-1000,342
2025-07-08T22:41:24.633584,EUR_USD,LONG,1000,344
2025-07-08T22:41:24.819262,USD_JPY,SHORT,-1000,346
2025-07-08T22:41:24.994799,GBP_USD,LONG,1000,348
2025-07-08T22:41:25.210816,AUD_USD,LONG,1000,350
2025-07-08T22:41:25.419172,USD_CAD,SHORT,-1000,352
2025-07-08T22:42:26.175940,EUR_USD,LONG,1000,354
2025-07-08T22:42:26.382779,USD_JPY,SHORT,-1000,356
2025-07-08T22:42:26.677442,GBP_USD,LONG,1000,358
2025-07-08T22:42:26.923790,AUD_USD,LONG,1000,360
2025-07-08T22:42:27.147553,USD_CAD,SHORT,-1000,362
2025-07-08T22:43:27.532007,EUR_USD,LONG,1000,364
2025-07-08T22:43:27.709456,USD_JPY,SHORT,-1000,366
2025-07-08T22:43:27.881358,GBP_USD,LONG,1000,368
2025-07-08T22:43:28.103565,AUD_USD,LONG,1000,370
2025-07-08T22:43:28.370933,USD_CAD,SHORT,-1000,372
2025-07-09T00:43:01.663885,EUR_USD,SHORT,-1000,374
2025-07-09T00:43:01.858093,USD_JPY,SHORT,-1000,376
2025-07-09T00:43:02.160265,GBP_USD,LONG,1000,378
2025-07-09T00:43:02.450985,AUD_USD,LONG,1000,380
2025-07-09T00:43:02.718000,USD_CAD,SHORT,-1000,382
2025-07-09T00:44:03.398881,EUR_USD,LONG,1000,384
2025-07-09T03:57:13.929451,EUR_USD,SELL,-1000,386
2025-07-09T03:57:14.549849,USD_CAD,BUY,-1000,388
2025-07-09T04:06:24.575640,USD_CAD,SELL,-1000,390
2025-07-09T04:08:26.321014,AUD_USD,SELL,-1000,392
2025-07-09T04:09:26.808905,EUR_USD,BUY,-1000,394
2025-07-09T04:09:26.995994,USD_JPY,SELL,-1000,396
2025-07-09T04:15:31.314829,USD_JPY,SELL,-1000,398
2025-07-09T04:21:36.187429,EUR_USD,SELL,-1000,400
2025-07-09T04:21:36.435429,GBP_USD,SELL,-1000,402
2025-07-09T04:23:38.310295,EUR_USD,BUY,-1000,404
2025-07-09T04:23:38.682212,AUD_USD,BUY,-1000,406
2025-07-09T04:24:39.692704,GBP_USD,BUY,-1000,408
2025-07-09T04:26:41.515424,EUR_USD,SELL,-1000,410
2025-07-09T11:54:16.578826,GBP_AUD,SELL,-1000,412,2.08216,2.08257,2.08134
2025-07-09T11:59:35.376773,GBP_JPY,BUY,1000,423,199.26000,199.21000,199.35900
2025-07-09T11:59:45.843486,GBP_JPY,SELL,-1000,427,199.26150,199.31100,199.16200
2025-07-09T11:59:51.114685,GBP_JPY,BUY,1000,431,199.26500,199.21500,199.36500
2025-07-09T11:59:56.611002,GBP_JPY,SELL,-1000,435,199.26200,199.31200,199.16200
2025-07-09T12:00:02.217139,GBP_JPY,BUY,1000,439,199.27200,199.22300,199.37000
